season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
summer,8,2021,5.808638359841364,1.6380736722718299,0.9989999999999999,6.196207570889048,5.643110620220395,10.59512198432993,0.5805012858325836
autumn,9,2021,6.676678039620328,1.877309812390191,0.42397104693539295,6.351011742079653,5.916492956885031,10.759433115026827,0.6111319730342475
autumn,10,2021,6.0241690467240625,1.58802001928176,0.9989999999957635,6.403917745091293,5.781583466327204,12.127860353676823,0.5920642573141275
autumn,11,2021,8.06758990842977,1.9056533197820493,0.0,7.158211655051861,6.656045336244445,15.274740419200107,0.6670385342506715
winter,12,2022,6.379325744278078,1.3573670521787755,0.9989999999999541,6.8431581031039315,5.868761014830305,18.95267565415066,0.5791470784364657
winter,1,2022,5.715156066766006,1.3997351969996772,0.9002288061860335,6.1093102001149635,5.298788457239328,14.218535676127583,0.5305936780132114
winter,2,2022,10.755797949044775,1.954405455800459,0.0,9.536740231979303,8.916587288939915,25.90487206229373,0.7747042077493038
spring,3,2022,7.4286671151428205,1.8907409484913014,0.0,6.5929798686287215,6.11962160188463,13.142755403105932,0.6223029099559854
spring,4,2022,6.931478587149293,1.9001471017182523,0.6079841515100932,6.7587087402040265,6.323511384841448,11.336662110721443,0.6564891451008159
spring,5,2022,8.460943359171743,2.2899991521906378,0.2863659379773914,7.781679077174995,7.495950327556134,12.03735213488604,0.7691377551258824
summer,6,2022,7.86589328723919,1.995744202191933,0.40425733375197054,7.375498680276543,6.950484408280107,13.329968832284768,0.7091628631160395
summer,7,2022,6.407363700186992,1.670182641306148,0.5641204636914934,6.288290789080202,5.709005849388753,12.405544555912154,0.5811419939410135
summer,8,2022,6.081611358558654,1.6066706083197533,0.9418731819539251,6.3924213392452325,5.7830128980539905,12.072755532205134,0.5921874189631946
autumn,9,2022,6.707614892647598,1.6816081739761763,0.0,5.989403983596025,5.394012892853358,13.414197100039702,0.5421776891811625
autumn,10,2022,8.913217928329406,1.7752655998595144,0.0,7.93196850360802,7.250569921893647,21.320340735421123,0.6885663930388866
autumn,11,2022,7.8375364162578425,1.716148545696259,0.0,6.98860700768252,6.330361995250065,17.600040667424835,0.625392939989111
